"Target String","URL Safe String","User","Hub","Hub Type","Profile Name","Profile Locale"
".org",".org","David Sanna","David Sanna, CPWA®","PERSONAL","David Sanna","en_US"
".org",".org","Mark Kranz","Mark Kranz, AWM","PERSONAL","Mark Kranz","en_US"
".org",".org","Harold D. Losey Jr.","The Losey Carleton Group","PERSONAL","Harold D. Losey","en_US"
".org",".org","Harold D. Losey Jr.","Harold D. Losey, AWM, CFA","PERSONAL","Harold D. Losey","en_US"
".org",".org","Joe DiVito","Joe Di Vito, AWM, CFP®, CIMA®, CRPS®","PERSONAL","Joe DiVito","en_US"
".org",".org","Harold D. Losey Jr.","The Losey Carleton Group","PERSONAL","Jennifer L. Carleton","en_US"
".org",".org","Jennifer L Carleton","Jennifer L Carleton, AAMS®","PERSONAL","Jennifer L Carleton","en_US"
".org",".org","Andrew A. Grant","Andrew Grant","PERSONAL","Andrew Grant","en_US"
".org",".org","Sean O'Neill","Sean O'Neill, CFP®, CRPS®","PERSONAL","Sean O'Neill","en_US"
".org",".org","Mark Kranz","Mark Kranz, AWM","PERSONAL","Mark Kranz","en_US"
".org",".org","Patrick A. Easter","The Lone Star Group","PERSONAL","Patrick A. Easter","en_US"
".org",".org","Harold D. Losey Jr.","The Losey Carleton Group","PERSONAL","Harold D. Losey","en_US"
".org",".org","Harold D. Losey Jr.","Harold D. Losey, AWM, CFA","PERSONAL","Harold D. Losey","en_US"
".org",".org","Harold D. Losey Jr.","The Losey Carleton Group","PERSONAL","Jennifer L. Carleton","en_US"
".org",".org","Jennifer L Carleton","Jennifer L Carleton, AAMS®","PERSONAL","Jennifer L Carleton","en_US"
