"Target String","URL Safe String","Owner","Repository","Content","Page","value","externalUrl","externalUrlTitle","Excerpt","FeatureImageAltText","Permalink","Description"
".org",".org","Philip Seline","Quad Cities","College Savings Plans Content--5","us.rbcwealthmanagement.com/web/quadcities/college-savings-plans-custom","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><root clientId=""A8378:contentForm:j_idt12:dynamicContent:j_id5"" xmlns=""http://www.veriday.com/xsd/content/content-base""><static-content clientId=""A8378:contentForm:j_idt12:dynamicContent:j_id6""><value>&lt;div&gt;
&lt;h3&gt;Prepare for the Future With a College Savings Plan&lt;/h3&gt;

&lt;p&gt;&lt;img src=""/delegate/services/file/38692/content"" /&gt;&lt;/p&gt;
College is an important part of your child&amp;rsquo;s future, but with education expenses continually on the rise, planning how to pay tuition can be daunting. In 2029&amp;mdash;when a current first grade student could be heading off to college&amp;mdash;the average cost of a four-year college education could be as much as $353,685 at an out-of-state public university or $453,681 at a private university.* That could mean a heavy burden for a young adult starting out in life.&lt;br /&gt;
&lt;br /&gt;
Yet today&amp;rsquo;s families often have competing financial priorities that can lead to difficult choices. For example, 49% of Americans place greater importance on saving for their children&amp;rsquo;s education than they do on saving for their own retirement, according to a 2016 survey commissioned by RBC Wealth Management. What can a concerned parent or grandparent do?
&lt;h3&gt;Consider the Benefits of a 529 Plan&lt;/h3&gt;
These state-sponsored investment programs are intended to help save for higher education. You can establish an account for anyone you want and the beneficiary can be of any age. Some key benefits of 529 plans include:

&lt;ul&gt;
	&lt;li&gt;you maintain control of the plan&amp;rsquo;s assets, and can even transfer the account to another beneficiary;&lt;/li&gt;
	&lt;li&gt;the funds are professionally managed;&lt;/li&gt;
	&lt;li&gt;withdrawals for qualified educational expenses are federal income-tax free;&lt;/li&gt;
	&lt;li&gt;some states offer tax advantages for local residents; and&lt;/li&gt;
	&lt;li&gt;plan assets are excluded from the contributor&amp;rsquo;s taxable estate.&lt;/li&gt;
&lt;/ul&gt;
Grandparents can make it easier for their adult children to save for retirement by helping fund the grandchildren&amp;rsquo;s college expenses. Required minimum distributions from tax-deferred retirement accounts may be a source of funds. And up to five years&amp;rsquo; worth of the $14,000 annual gift tax exclusion (i.e. up to $70,000) per 529 plan beneficiary can be accelerated to fund the 529 without being subject to gift taxes.&lt;br /&gt;
&lt;br /&gt;
College is an incredible time in your loved ones&amp;rsquo; lives when they&amp;rsquo;re learning who they are and how to be responsible adults. With smart planning now, we can help you avoid worrying about huge tuition bills or family debt. &lt;a href=""https://cms.broadridgeadvisor.com/Entity/3297/Site/6549/AssetContent/Edit/1053/301120/""&gt;Contact us&lt;/a&gt; today to discuss whether a 529 plan is right for your family.&lt;br /&gt;
&amp;nbsp;
&lt;p&gt;* Based on the 2016-2017 average total costs of a four-year college education, including tuition, fees, room and board: $35,370 for public out-of-state, $45,370 for private (Trends in College Pricing &amp;copy; 2016 The College Board). Assumes 7% annual inflation adjustments (FinAid.org).&lt;br /&gt;
RBC Wealth Management is not a tax advisor. All decisions regarding tax implications of your investments should be made in consultation with your independent tax advisor.&lt;/p&gt;
&lt;/div&gt;
</value></static-content></root>","","","","","5-1505755271829",""
".org",".org","Jacquelin R Larson","Minnetonka","Race for the Kids Content--5","us.rbcwealthmanagement.com/web/minnetonka/race-for-the-kids","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><root clientId=""A8326:contentForm:j_idt12:dynamicContent:j_id3"" xmlns=""http://www.veriday.com/xsd/content/content-base""><static-content clientId=""A8326:contentForm:j_idt12:dynamicContent:j_id4""><value>&lt;div&gt;
&lt;div&gt;
&lt;div&gt;
&lt;div&gt;&amp;nbsp;&lt;/div&gt;
&lt;/div&gt;
&lt;/div&gt;
&lt;/div&gt;

&lt;div&gt;
&lt;div&gt;
&lt;div&gt;
&lt;div&gt;
&lt;h3&gt;Please Join Us for the RBC Race for the Kids!&lt;/h3&gt;

&lt;p&gt;&lt;img src=""/delegate/services/file/45690/content"" style=""width: 145px; height: 195px; float: right;"" /&gt;&lt;/p&gt;

&lt;p&gt;RBC is proud to continue its title sponsorship of the RBC Race for the Kids Minnesota Half Marathon and 6k on Saturday, August 5. The race will once again benefit the Ronald McDonald House.&lt;br /&gt;
&lt;br /&gt;
RBC has a long legacy of supporting children&amp;rsquo;s causes, and the global, employee-led Race for the Kids initiative is part of our commitment to kids and youth. Along with the Twin Cities race, RBC-sponsored charitable runs take place in in London, Toronto, New York City, Chicago, Sydney, Hong Kong and more.&amp;nbsp;&amp;nbsp;&lt;/p&gt;

&lt;p&gt;&amp;nbsp;&lt;/p&gt;

&lt;h3&gt;Join Team RBC&lt;/h3&gt;

&lt;p&gt;All are welcome! The RBC Race for the Kids Minnesota Half Marathon is an event for everyone! There&amp;rsquo;s a half marathon, half marathon relay, 6K run/walk and a kid&amp;rsquo;s dash, as well as a half marathon skate. New to 2017 - we are adding a Ronald McDonald House Family Walk for former and current RMHC families and friends can join together to celebrate RMHC-UM and raise money to support programs and services to provide a home-away-from-home for families during a child&amp;#39;s illness.&lt;/p&gt;

&lt;p&gt;&amp;nbsp;&lt;/p&gt;

&lt;h3&gt;Race Details&lt;/h3&gt;
Times subject to change. Please check back for updates. Helmets are &lt;strong&gt;required&lt;/strong&gt; for all skaters.&lt;br /&gt;
&lt;br /&gt;
&lt;strong&gt;Race Date&lt;/strong&gt;: Saturday, August 5, 2017&lt;br /&gt;
&lt;strong&gt;Location&lt;/strong&gt;: &amp;nbsp;Upper Landing Park, St. Paul&amp;nbsp;&lt;br /&gt;
&lt;strong&gt;Schedule of events&lt;/strong&gt;:

&lt;ul&gt;
	&lt;li&gt;&lt;em&gt;7:00am: Half marathon skate start&lt;/em&gt;&lt;/li&gt;
	&lt;li&gt;&lt;em&gt;7:15am: Half marathon runner and relay start&lt;/em&gt;&lt;/li&gt;
	&lt;li&gt;&lt;em&gt;8:00am: 5K runner start&lt;/em&gt;&lt;/li&gt;
	&lt;li&gt;&lt;em&gt;9:00am: RMHC Family Walk start&lt;/em&gt;&lt;/li&gt;
	&lt;li&gt;&lt;em&gt;10:00am: 1K kids run&lt;/em&gt;&lt;/li&gt;
&lt;/ul&gt;

&lt;p&gt;&amp;nbsp;&lt;/p&gt;

&lt;h3&gt;Fundraise&lt;/h3&gt;
&lt;a href=""http://events.rmhtwincities.org/site/TR?fr_id=1040&amp;amp;pg=entry""&gt;Fundraise for the race&lt;/a&gt;&amp;nbsp;and help support the Ronald McDonald House Charities, Upper Midwest. There are some great incentives for top fundraisers, and you don&amp;rsquo;t have to be registered to run to fundraise.&lt;/div&gt;
&lt;/div&gt;

&lt;div&gt;&amp;nbsp;&lt;/div&gt;
&lt;/div&gt;
&lt;/div&gt;
</value></static-content></root>","","","","","5-1505762028183",""
".org",".org","Jacquelin R Larson","Minnetonka","Community Involvement Content--6","us.rbcwealthmanagement.com/web/minnetonka/community-involvement","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><root clientId=""A6281:contentForm:j_idt12:dynamicContent:j_id3"" xmlns=""http://www.veriday.com/xsd/content/content-base""><static-content clientId=""A6281:contentForm:j_idt12:dynamicContent:j_id4""><value>&lt;div&gt;
&lt;p&gt;&lt;img src=""/delegate/services/file/45699/content"" style=""width: 35%; float: right;"" /&gt;&lt;strong&gt;The House that Love Built&lt;/strong&gt;&lt;br /&gt;
RBC Wealth Management is proud to support the Ronald McDonald House Charities &amp;ndash; Upper Midwest. Their mission is to provide a comfortable and caring home-away-from home that allows families to stay together and reduce stress during a child&amp;rsquo;s serious illness.&lt;br /&gt;
&lt;br /&gt;
One of the ways to help these families in their time in need is to provide a home-cooked meal. Cooks for Kids volunteers plan, prepare and serve buffet style meals every night as well as brunch on Saturdays and Sundays.&lt;br /&gt;
&lt;br /&gt;
In July we had a group of volunteers from the Minnetonka office come together to provide dinner and their support for the families staying at the Ronald McDonald House on Oak Street. What we would consider to be a small gesture makes an enormous difference in the lives and families of children who are facing serious illnesses. Bringing smiles to their little faces and providing relief to their parents for even a short time makes what we do worthwhile.&lt;/p&gt;

&lt;div&gt;&lt;sub&gt;&lt;strong&gt;PHOTO:&lt;br /&gt;
Top from left&lt;/strong&gt;: Paul King, Financial Advisor; Hal Tearse, Branch Director; Jeff Belstler, Registered Client Associate; Heidi Johnson, Minneapolis Associate Complex Manager.&amp;nbsp;&amp;nbsp; &lt;strong&gt;Bottom from left&lt;/strong&gt;: Michelle Gribben; Joe Gribben, Financial Advisor; Tony Ricker, Financial Advisor; Ronald Mcdonald; Ronda Zattera, Branch Service Manager; Jennie Zajicek, Senior Investment Associate&lt;br /&gt;
&lt;strong&gt;Not pictured&lt;/strong&gt;: Jackie Larson, Financial Advisor&lt;/sub&gt;&lt;/div&gt;

&lt;hr /&gt;
&lt;div&gt;&amp;nbsp;&lt;/div&gt;

&lt;p&gt;&lt;img src=""/delegate/services/file/45708/content"" style=""width: 25%; float: right;"" /&gt;&lt;strong&gt;In support of the Minnesota Food share March campaign:&lt;/strong&gt;&lt;/p&gt;

&lt;ul&gt;
	&lt;li&gt;The Minnetonka office hosted a food and fund drive through the month of March for the Minnetonka ICA.&lt;/li&gt;
	&lt;li&gt;We collected food donations as well as cash donations by offering a Jeans day on Fridays in exchange for donations.&amp;nbsp;&lt;/li&gt;
	&lt;li&gt;We set a goal of 200 pounds of food and $1,000. We exceeded our goal and collected 209 pounds of food and $1,535.00.&lt;/li&gt;
	&lt;li&gt;We dropped off the food and presented the ICA with a check for this amount on April 6th.&lt;/li&gt;
&lt;/ul&gt;
The ICA, &lt;a href=""http://www.icafoodshelf.org""&gt;Intercongregation Communities Association&lt;/a&gt;, has been in existence for 40 years, has 36 partner congregations and is supported by over 100 business partners and is also supported by civic organizations, schools and fraternal organizations.&amp;nbsp;&lt;br /&gt;
&lt;br /&gt;
Individuals in the picture include (left to right):&amp;nbsp;Peg Keenan, Executive Director, ICA; Conner Mars, RBC Registered Client Associate;&amp;nbsp;Hal Tearse, RBC Branch Director;&amp;nbsp;Renee Lee, RBC Senior Financial Associate;&amp;nbsp;Ronda Zattera, RBC Senior Branch Service Manager;&amp;nbsp;Jeff Belstler, RBC Registered Client Associate; and&amp;nbsp;Kate Wiliniski, ICA Community Engagement Officer.
&lt;div&gt;
&lt;hr /&gt;
&lt;p&gt;&amp;nbsp;&lt;/p&gt;
&lt;/div&gt;

&lt;p&gt;&lt;img src=""/delegate/services/file/45717/content"" style=""width: 25%; float: right;"" /&gt;&lt;strong&gt;The 5K Eat and Run&lt;/strong&gt;&lt;br /&gt;
Employees participated in the first 5K Eat and Run on Saturday March 5 in Northeast Minneapolis to benefit &lt;a href=""http://www.gmcc.org/minnesotafoodshare""&gt;MN Foodshare&lt;/a&gt;.&lt;br /&gt;
&lt;br /&gt;
The &amp;ldquo;Team Minnetonka&amp;rdquo; employees who participated were (left to right): Lois Geyen, Paul King, Jennie Zajicek, Ronda Zattera, Danielle Matson, Jeff Belstler and Tim Farley&lt;/p&gt;
&lt;/div&gt;
</value></static-content></root>","","","","","6-1505762028815",""
".org",".org","Bill Kohn","Stillwater","Community Involvement Content--6","us.rbcwealthmanagement.com/web/stillwater/community-involvement","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><root clientId=""A2980:contentForm:j_idt10:dynamicContent:j_id5"" xmlns=""http://www.veriday.com/xsd/content/content-base""><static-content clientId=""A2980:contentForm:j_idt10:dynamicContent:j_id6""><value>&lt;div&gt;
&lt;p&gt;Responsibly managing what others entrust to our care is a core stewardship value that defines us as a company and guides us as wealth managers. Beyond putting clients first and helping them achieve their financial goals, it also means we invest our time, talent and financial resources to support worthy causes that benefit the communities where we live, work and do business.&lt;br /&gt;
&lt;br /&gt;
The Stillwater Branch of RBC Wealth Management is active in the local community&lt;br /&gt;
Click on the links below to see the organizations that we support.&lt;br /&gt;
&lt;br /&gt;
&lt;a href=""http://www.treehouseyouth.org/"" target=""_blank""&gt;Tree House&lt;/a&gt;&lt;br /&gt;
&lt;a href=""http://campodayin.org/?gclid=CjwKEAiArdG1BRCLvs_q-IObwxMSJACXbLtzdRY1rFvpTNBUWfLo-HfsY9fI7W89pDo4lNi4AhWI1BoCnBbw_wcB"" target=""_blank""&gt;Camp Odayin&lt;/a&gt;&lt;br /&gt;
&lt;a href=""http://stillwaterareafoundation.org/"" target=""_blank""&gt;Stillwater Area Foundation&lt;/a&gt;&lt;br /&gt;
&lt;a href=""http://www.valleyoutreachmn.org/"" target=""_blank""&gt;Valley Outreach&lt;/a&gt;&lt;br /&gt;
&lt;a href=""http://www.allinahealth.org/Courage-Kenny-Rehabilitation-Institute/Foundation/About-the-Foundation/"" target=""_blank""&gt;Courage Kenny Foundation&lt;/a&gt;&lt;/p&gt;

&lt;p&gt;&lt;a href=""https://communitythreadmn.org/"" style=""background-color: rgb(255, 255, 255);"" target=""_blank""&gt;Community Thread&lt;/a&gt;&lt;/p&gt;

&lt;p&gt;&amp;nbsp;&lt;/p&gt;
&lt;/div&gt;
</value></static-content></root>","","","","","6-1505788522134",""
".org",".org","Christopher Lobo","Syracuse","Community Involvement Content--20","us.rbcwealthmanagement.com/web/syracuse/community-involvement","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><root xmlns=""http://www.veriday.com/xsd/content/content-base""><static-content><value>&lt;div&gt;Responsibly managing what others entrust to our care is a core stewardship value that defines us as a company and guides us as wealth managers. Beyond putting clients first and helping them achieve their financial goals, it also means we invest our time, talent and financial resources to support worthy causes that benefit the communities where we live, work and do business.&lt;br /&gt;
&lt;br /&gt;
The&amp;nbsp;Syracuse Branch of RBC Wealth Management is active in the local community.&lt;br /&gt;
Click on the links below to see the organizations that we support.&lt;br /&gt;
&lt;br /&gt;
&lt;a href=""http://www.thefirstteesyracuse.org/""&gt;The First Tee of Syracuse&lt;/a&gt;&lt;br /&gt;
A&amp;nbsp;certification program that enables participants to advance from one level of demonstrated competence in understanding, and practicing life skills and golfing skills to higher levels.&amp;nbsp; The First Tee of Syracuse also promotes the National School Program in our area.&amp;nbsp; This program introduces golf and the core values through physical education classes in elementary and middle schools.&lt;br /&gt;
&lt;br /&gt;
&lt;a href=""http://www.cnyscouts.org/""&gt;Boy Scouts of America, Longhouse Council&lt;/a&gt;&lt;br /&gt;
One of more than 270 local councils.&amp;nbsp; The purpose of the Boy Scouts of America, incorporated on February 8, 1910, and chartered by Congress in 1916, is to provide an educational program for boys and young adults to build character, to train in the responsibilities of participating citizenship, and to develop personal fitness.&lt;br /&gt;
&lt;br /&gt;
&lt;a href=""http://www.samcenter.org/""&gt;The Samaritan Center&lt;/a&gt;&lt;br /&gt;
Offers hot meals 365 days a year without preconditions or questions, serving more than 118,000 meals annually with the help of over 1100 community volunteers a month who prepare and serve meals, collect and distribute toiletries and make and distribute sandwiches.&amp;nbsp; The Center also provides direct case management as well as on-site access to information about and referrals to services and programs in the community of interest to its guests - services which provide resources, hope and opportunity for a better future.&lt;br /&gt;
&lt;br /&gt;
&lt;a href=""http://www.marchofdimes.org/""&gt;March of Dimes&lt;/a&gt;&lt;br /&gt;
Has led the way to discover the genetic causes of birth defects, to promote newborn screening, and to educate medical professionals and the public about best practices for healthy pregnancy.&amp;nbsp; The rising incidence of premature birth has demanded action, and the March of Dimes has responded by initiating an intensive, multi-year campaign to raise awareness and find the causes of prematurity.&lt;br /&gt;
&lt;br /&gt;
&lt;a href=""http://www.skaneateleslake.org/""&gt;Skaneateles Lake Association&lt;/a&gt;&lt;br /&gt;
Promotes protection of the water quality of Skaneateles Lake and environmentally sound regional management of its watershed.&amp;nbsp; The efforts of the Skaneateles Lake Association to control milfoil and prevent the introduction of&amp;nbsp;other invasive plants and animals into Skaneateles Lake have been extensive.&lt;br /&gt;
&lt;br /&gt;
&amp;nbsp;&lt;/div&gt;
</value></static-content></root>","","","","","20-1505788618972",""
".org",".org","Brian Katz","Boston","RBC Boston in the Community Content--15","us.rbcwealthmanagement.com/web/boston/rbc-boston-in-the-community","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><root clientId=""A7399:contentForm:j_idt12:dynamicContent:j_id3"" xmlns=""http://www.veriday.com/xsd/content/content-base""><static-content clientId=""A7399:contentForm:j_idt12:dynamicContent:j_id4""><value>&lt;div&gt;
&lt;h2&gt;Boston complex helps&amp;nbsp;keep Boston warm&lt;/h2&gt;

&lt;p class=""ckePara""&gt;With over 100 inches of snow this year, the need for cold weather gear and heating assistance in Boston, Massachusetts has never been greater. For the fourth year in a row, the RBC offices in Boston worked together to collect warm clothes, blankets and winter coats, hats and mittens to help keep low income families in the Boston area warm during this year&amp;#39;s harsh winter weather.&lt;br /&gt;
&lt;br /&gt;
In addition to the collected items, employees also raised $3,600 in fuel assistance support that will be donated to &lt;a href=""https://www.bostonabcd.org/winter-emergency-campaign.aspx"" target=""_blank""&gt;Action for Boston Community Development&lt;/a&gt; (ABCD). ABCD helps individuals and families in the Boston area overcome poverty by providing basic services and innovative programs that empower people to achieve their full potential.&lt;br /&gt;
&lt;br /&gt;
&lt;img src=""/delegate/services/file/64994/content"" /&gt;&lt;br /&gt;
&lt;br /&gt;
&amp;nbsp;&lt;/p&gt;

&lt;h2&gt;Women serving women at Rosie&amp;#39;s Place &amp;ndash; Boston&lt;/h2&gt;

&lt;p class=""ckePara""&gt;A group of volunteers from the Boston complex returned to Rosie&amp;#39;s Place in Boston to, once again, sponsor dinner for women served by the shelter. Volunteers prepped, cooked, plated and served supper to approximately 120 poor and homeless women as part of the group&amp;#39;s second trip to Rosie&amp;#39;s place this year.&lt;br /&gt;
&lt;br /&gt;
Rosie&amp;#39;s Place is a Boston women&amp;#39;s shelter dedicated to providing a safe and nurturing environment that helps poor and homeless women maintain their dignity, seek opportunity and find security in their lives.&lt;br /&gt;
&lt;br /&gt;
&lt;img src=""/delegate/services/file/65022/content"" /&gt;&lt;/p&gt;
&lt;/div&gt;

&lt;hr /&gt;</value></static-content></root>","","","","","15-1505856131639",""
".org",".org","Susanna Leung","Dallas Executive OLD","Community Involvement Content--13","us.rbcwealthmanagement.com/web/dallasexecutiveold/community-involvement","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><root clientId=""A7747:contentForm:j_idt9:dynamicContent:j_id3"" xmlns=""http://www.veriday.com/xsd/content/content-base""><static-content clientId=""A7747:contentForm:j_idt9:dynamicContent:j_id4""><value>&lt;h3&gt;Dedicated to our community&lt;/h3&gt;

&lt;p&gt;Being responsible stewards of our clients&amp;#39; assets, our communities, and the environment is a core tenet at RBC Wealth Management. We strongly support this belief and are committed to giving back to the Dallas community through volunteering, sponsorships, and financial support. Explore some of our recent efforts below.&lt;/p&gt;

&lt;hr /&gt;
&lt;h3 class=""ckePara""&gt;paws4vets&lt;/h3&gt;

&lt;p&gt;RBC Wealth Management&amp;rsquo;s Dallas Complex is working with the paws4people Foundation&amp;rsquo;s paws4vets program, which trains Assistance Dogs for wounded veterans and active-duty service members. Each branch is sponsoring a certified Veteran Client/Assistance Dog Team transforming the lives of the veterans and their families. &amp;nbsp;Contributions make&amp;nbsp;such a significant impact in the life of the veterans and their families who have given so much to us &amp;hellip; it&amp;rsquo;s time to give back. We offer our sincerest thanks to you for your generosity and support. Go to &lt;a href=""http://www.paws4people.org/RBC-Dallas""&gt;www.paws4people.org/RBC-Dallas&lt;/a&gt; to learn more.&amp;nbsp;&lt;/p&gt;

&lt;p&gt;&lt;img alt="""" src=""/documents/67405/67428/image003.jpg/b7283536-0a07-41e4-99cf-3009b146697f?t=1531508619456"" style=""width: 45%;"" /&gt;&lt;/p&gt;

&lt;div&gt;
&lt;hr /&gt;
&lt;h3&gt;RBC Tennis Championships of Dallas&lt;/h3&gt;
&lt;/div&gt;

&lt;p&gt;We are thrilled to return as title sponsor of the &lt;strong&gt;2019&amp;nbsp;RBC Tennis Championships of Dallas&lt;/strong&gt;. With some of finest players in the world, it is the largest professional indoor tournament in the southwest. We had the honor of helping bring this fantastic event to the Dallas/Fort Worth Community once again.&lt;/p&gt;

&lt;p&gt;&lt;img src=""/delegate/services/file/67489/content"" style=""width: 250px; height: 286px;"" /&gt;&lt;/p&gt;
</value></static-content></root>","","","","","13-1505858329331",""
".org",".org","Kevin Nolan","The Nolan-Russell Investment Group","Market Commentary Content--14","us.rbcwealthmanagement.com/web/thenolanrussellinvestmentgroup/market-commentary","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><root clientId=""A7968:contentForm:j_idt9:dynamicContent:j_id3"" xmlns=""http://www.veriday.com/xsd/content/content-base""><static-content clientId=""A7968:contentForm:j_idt9:dynamicContent:j_id4""><value>&lt;h3&gt;Recommended websites&lt;/h3&gt;

&lt;div&gt;&lt;a href=""http://www.finra.org"" target=""_blank""&gt;www.finra.org&lt;/a&gt;&lt;br /&gt;
&lt;a href=""http://www.morningstar.com"" target=""_blank""&gt;www.morningstar.com&lt;/a&gt;&lt;br /&gt;
&lt;a href=""http://sipc.org"" target=""_blank""&gt;www.sipc.org&lt;/a&gt;&lt;br /&gt;
&lt;a href=""http://www.nyse.com"" target=""_blank""&gt;www.nyse.com&lt;/a&gt;&lt;br /&gt;
&lt;a href=""http://www.nasdaq.com"" target=""_blank""&gt;www.nasdaq.com&lt;/a&gt;&lt;/div&gt;
</value></static-content></root>","","","","","14-1508165544803",""
".org",".org","Beth Rosenwald","The Rosenwald Team","Working With a CFP® Professional Content--11","us.rbcwealthmanagement.com/web/therosenwaldteam/working-with-a-cfp-professional","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><root clientId=""A7596:contentForm:j_idt9:dynamicContent:j_id3"" xmlns=""http://www.veriday.com/xsd/content/content-base""><static-content clientId=""A7596:contentForm:j_idt9:dynamicContent:j_id4""><value>&lt;h3&gt;Working with a CFP&lt;sup&gt;&amp;reg;&lt;/sup&gt; professional&lt;/h3&gt;

&lt;p&gt;When choosing a financial advisor to help you meet your wealth management goals, consider the benefits of working with someone that is&amp;nbsp;a CERTIFIED FINANCIAL PLANNER&amp;trade; (CFP &lt;sup&gt;&amp;reg;&lt;/sup&gt;) professional. This well-regarded certification&amp;nbsp;is awarded by the &lt;a href=""http://www.cfp.net/about-cfp-board/about-cfp-board""&gt;CFP&amp;reg; Board&lt;/a&gt; to individuals that have met rigorous educational, testing, and ethical standards.&lt;/p&gt;

&lt;h3&gt;Education&lt;/h3&gt;

&lt;p&gt;To obtain the CFP &lt;sup&gt;&amp;reg;&lt;/sup&gt; certification, individuals must complete a comprehensive course of study at an approved college or university covering a multitude of financial planning topics, including:&lt;/p&gt;

&lt;ul&gt;
	&lt;li&gt;Investments&lt;/li&gt;
	&lt;li&gt;Estate Planning&lt;/li&gt;
	&lt;li&gt;Insurance&lt;/li&gt;
	&lt;li&gt;Income Tax Planning&lt;/li&gt;
	&lt;li&gt;Wealth Transfer Strategies&lt;/li&gt;
	&lt;li&gt;Risk Management&lt;/li&gt;
	&lt;li&gt;Retirement Planning&lt;/li&gt;
	&lt;li&gt;Employee Benefits&lt;/li&gt;
	&lt;li&gt;Wealth Management Planning&lt;/li&gt;
&lt;/ul&gt;

&lt;p&gt;Upon completion of the required coursework, individuals must pass a comprehensive, two-day, 10-hour examination that tests one&amp;rsquo;s ability to apply the knowledge they have obtained to real-life situations. This test is considered one of the most difficult in the industry, with only a 55-60%* pass rate.&lt;/p&gt;

&lt;h3&gt;Ethics&lt;/h3&gt;

&lt;p&gt;Beyond education, CFP &lt;sup&gt;&amp;reg;&lt;/sup&gt; professionals must adhere to a strict code of ethics, upholding principles of integrity, objectivity, competence, fairness, confidentiality, professionalism and diligence when providing service to others. These standards are monitored closely by the CFP &lt;sup&gt;&amp;reg;&lt;/sup&gt; Board and violation of these principles can result in the revocation of the designation.&lt;/p&gt;

&lt;h3&gt;Why it should matter to you&lt;/h3&gt;

&lt;p&gt;There are a variety of attributes that you can expect from an advisor with the CFP &lt;sup&gt;&amp;reg;&lt;/sup&gt; certification, including:&lt;br /&gt;
&amp;nbsp;&lt;/p&gt;

&lt;ul&gt;
	&lt;li&gt;being well-versed in developing integrated wealth management plans;&lt;/li&gt;
	&lt;li&gt;a robust theoretical and practical knowledge of investment products and services;&lt;/li&gt;
	&lt;li&gt;an unwavering commitment to the highest ethics; and&lt;/li&gt;
	&lt;li&gt;a steadfast commitment to putting your interests first.&lt;/li&gt;
&lt;/ul&gt;

&lt;p&gt;We encourage you to experience the benefits of working with a CFP&lt;sup&gt;&amp;reg;&lt;/sup&gt; professional for yourself. &lt;a href=""contact""&gt;Contact us&lt;/a&gt; today to learn more or to schedule a complimentary consultation&lt;/p&gt;

&lt;p&gt;&amp;nbsp;&lt;/p&gt;

&lt;p&gt;*Let&amp;rsquo;s Make A Plan. &amp;ldquo;&lt;a href=""http://www.letsmakeaplan.org/choose-a-cfp-professional/why-cfp-certification-matters""&gt;Why CFP&amp;reg; Certification Matters&lt;/a&gt;.&amp;rdquo; 2016.&lt;/p&gt;
</value></static-content></root>","","","","","11-1508171366856",""
".org",".org","Doug Bailey","The Bailey Group","Market Commentary Content--13","us.rbcwealthmanagement.com/web/baileygroup/market-commentary","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><root xmlns=""http://www.veriday.com/xsd/content/content-base""><static-content><value>&lt;div&gt;
 &lt;br&gt;
 &lt;strong&gt;Recommended Websites&lt;/strong&gt;
 &lt;br&gt;
 &lt;a href=""http://www.finra.org""&gt;www.finra.org&lt;/a&gt;
 &lt;br&gt;
 &lt;a href=""http://www.morningstar.com""&gt;www.morningstar.com&lt;/a&gt;
 &lt;br&gt;
 &lt;a href=""http://www.nyse.com""&gt;www.nyse.com&lt;/a&gt;
 &lt;br&gt;
 &lt;a href=""http://www.nasdaq.com""&gt;www.nasdaq.com&lt;/a&gt;
 &lt;br&gt;
&lt;/div&gt;</value></static-content></root>","","","","","13-1508248560222",""
